"time_key","transactions","monthly_revenue","avg_transaction_value"
T00001,6,826.0,137.66666666666666
T00002,14,1971.5,140.82142857142858
T00003,10,1229.0,122.9
T00004,7,576.5,82.35714285714286
T00005,17,1398.5,82.26470588235294
T00006,14,1576.5,112.60714285714286
T00007,9,841.0,93.44444444444444
T00008,6,933.75,155.625
T00009,10,1186.0,118.6
T00010,6,377.25,62.875
T00011,12,1118.75,93.22916666666667
T00012,7,878.5,125.5
T00013,10,866.5,86.65
T00014,10,1436.75,143.675
T00015,10,777.5,77.75
T00016,4,563.75,140.9375
T00017,15,1814.0,120.93333333333334
T00018,16,1793.75,112.109375
T00019,8,497.75,62.21875
T00020,12,1051.75,87.64583333333333
T00021,9,1244.75,138.30555555555554
T00022,8,703.0,87.875
T00023,9,1143.5,127.05555555555556
T00024,13,1366.0,105.07692307692308
T00025,10,921.75,92.175
T00026,15,1741.75,116.11666666666666
T00027,10,638.25,63.825
T00028,7,1666.0,238.0
T00029,12,1155.0,96.25
T00030,17,1946.0,114.47058823529412
T00031,5,691.0,138.2
T00032,8,747.0,93.375
T00033,16,1954.25,122.140625
T00034,12,1877.5,156.45833333333334
T00035,9,643.25,71.47222222222223
T00036,7,989.0,141.28571428571428
T00037,10,796.0,79.6
T00038,10,1300.0,130.0
T00039,8,763.25,95.40625
T00040,7,1068.0,152.57142857142858
T00041,10,1028.25,102.825
T00042,10,1258.0,125.8
T00043,15,1613.25,107.55
T00044,9,1146.0,127.33333333333333
T00045,10,1049.25,104.925
T00046,9,1331.75,147.97222222222223
T00047,3,185.5,61.833333333333336
T00048,10,1167.5,116.75
T00049,13,1284.5,98.8076923076923
T00050,11,1314.5,119.5
T00051,13,1449.5,111.5
T00052,5,612.0,122.4
T00053,11,1364.0,124.0
T00054,11,896.5,81.5
T00055,9,1282.75,142.52777777777777
T00056,10,1095.25,109.525
T00057,12,958.75,79.89583333333333
T00058,5,425.0,85.0
T00059,10,855.5,85.55
T00060,12,876.25,73.02083333333333
T00061,10,963.5,96.35
T00062,8,1134.0,141.75
T00063,12,1123.0,93.58333333333333
T00064,12,1567.0,130.58333333333334
T00065,7,784.25,112.03571428571429
T00066,13,1396.0,107.38461538461539
T00067,7,556.75,79.53571428571429
T00068,9,868.0,96.44444444444444
T00069,9,564.75,62.75
T00070,4,369.0,92.25
T00071,13,1216.0,93.53846153846153
T00072,8,1133.5,141.6875
T00073,6,497.75,82.95833333333333
T00074,7,525.5,75.07142857142857
T00075,15,1705.5,113.7
T00076,8,690.0,86.25
T00077,9,1088.0,120.88888888888889
T00078,7,1014.5,144.92857142857142
T00079,12,1260.0,105.0
T00080,10,1048.5,104.85
T00081,3,278.0,92.66666666666667
T00082,5,269.0,53.8
T00083,9,860.0,95.55555555555556
T00084,13,1191.75,91.67307692307692
T00085,12,1515.0,126.25
T00086,11,944.75,85.88636363636364
T00087,12,1315.0,109.58333333333333
T00088,13,1161.5,89.34615384615384
T00089,10,1078.5,107.85
T00090,6,878.0,146.33333333333334
T00091,12,1239.0,103.25
T00092,7,891.0,127.28571428571429
T00093,8,1038.0,129.75
T00094,7,715.0,102.14285714285714
T00095,8,650.75,81.34375
T00096,7,935.0,133.57142857142858
T00097,18,3074.0,170.77777777777777
T00098,8,846.5,105.8125
T00099,10,1218.5,121.85
T00100,7,579.0,82.71428571428571
T00101,16,1226.25,76.640625
T00102,10,1262.25,126.225
T00103,14,1526.0,109.0
T00104,8,740.5,92.5625
T00105,10,1036.25,103.625
T00106,9,1109.0,123.22222222222223
T00107,8,842.0,105.25
T00108,6,560.75,93.45833333333333
T00109,9,872.75,96.97222222222223
T00110,3,446.5,148.83333333333334
T00111,18,2327.25,129.29166666666666
T00112,8,708.25,88.53125
T00113,8,1169.0,146.125
T00114,11,1387.5,126.13636363636364
T00115,6,552.5,92.08333333333333
T00116,8,776.5,97.0625
T00117,14,1706.25,121.875
T00118,13,2025.25,155.78846153846155
